data_coleta,titulo,resumo,instituicao,nivel,area,vagas,inscricoes_inicio,inscricoes_fim,url,status,data_publicacao,fonte
2026-08-18T03:35:50.252249Z,Seleção de Mestrado 2026 - CFAC,Seleção de Mestrado 2026 ... O Programa de Pós-Graduação em Artes da Universidade Federal do Sul da Bahia torna público o Edital PROPPG nº 07/2026 ...,UFSB,Especialização - Aluno Especial,Comunicação e Artes,10,2026-07-28T00:00:00Z,2026-07-28T00:00:00Z,https://ufsb.edu.br/cfartes/documentos/editais/450-selecao-de-mestrado-2026,Encerrado,2026-07-28T00:00:00Z,Google Search (UFSB)
2026-08-18T03:35:50.252249Z,057/2026AR - Educação e Linguagens - Lato Sensu - Aluno Regular,Inscrições para o processo seletivo da UNEB: 057/2026AR - Educação e Linguagens - Lato Sensu - Aluno Regular. Período de inscrições de 25/06/2026 a 10/07/2026. Consulte o edital completo no portal SSPPG UNEB.,UNEB,Especialização - Aluno Especial,Humanas e Sociais,15,2026-06-25T12:00:00Z,2026-07-10T23:59:59Z,https://ssppg.uneb.br/inicio/editalExterno/1549?selecao=1549,Encerrado,2026-06-25T12:00:00Z,UNEB SSPPG
2026-08-18T03:35:50.252249Z,"060/2026 - Gênero, Raça/Etnia e Sexualidade na Formação de Educadoras/es - EAD - Lato Sensu - Aluno Regular","Inscrições para o processo seletivo da UNEB: 060/2026 - Gênero, Raça/Etnia e Sexualidade na Formação de Educadoras/es - EAD - Lato Sensu - Aluno Regular. Período de inscrições de 03/07/2026 a 13/07/2026. Consulte o edital completo no portal SSPPG UNEB.",UNEB,Especialização - Aluno Especial,Educação,15,2026-07-03T12:00:00Z,2026-07-13T23:59:59Z,https://ssppg.uneb.br/inicio/editalExterno/1571?selecao=1571,Encerrado,2026-07-03T12:00:00Z,UNEB SSPPG
2026-08-19T03:37:29.045075Z,Seleção de Mestrado 2026 - CFAC,Seleção de Mestrado 2026 ... O Programa de Pós-Graduação em Artes da Universidade Federal do Sul da Bahia torna público o Edital PROPPG nº 07/2026 ...,UFSB,Especialização - Aluno Especial,Comunicação e Artes,10,2026-07-28T00:00:00Z,2026-07-28T00:00:00Z,https://ufsb.edu.br/cfartes/documentos/editais/450-selecao-de-mestrado-2026,Encerrado,2026-07-28T00:00:00Z,Google Search (UFSB)
2026-08-19T03:37:29.045075Z,057/2026AR - Educação e Linguagens - Lato Sensu - Aluno Regular,Inscrições para o processo seletivo da UNEB: 057/2026AR - Educação e Linguagens - Lato Sensu - Aluno Regular. Período de inscrições de 25/06/2026 a 10/07/2026. Consulte o edital completo no portal SSPPG UNEB.,UNEB,Especialização - Aluno Especial,Humanas e Sociais,15,2026-06-25T12:00:00Z,2026-07-10T23:59:59Z,https://ssppg.uneb.br/inicio/editalExterno/1549?selecao=1549,Encerrado,2026-06-25T12:00:00Z,UNEB SSPPG
2026-08-19T03:37:29.045075Z,"060/2026 - Gênero, Raça/Etnia e Sexualidade na Formação de Educadoras/es - EAD - Lato Sensu - Aluno Regular","Inscrições para o processo seletivo da UNEB: 060/2026 - Gênero, Raça/Etnia e Sexualidade na Formação de Educadoras/es - EAD - Lato Sensu - Aluno Regular. Período de inscrições de 03/07/2026 a 13/07/2026. Consulte o edital completo no portal SSPPG UNEB.",UNEB,Especialização - Aluno Especial,Educação,15,2026-07-03T12:00:00Z,2026-07-13T23:59:59Z,https://ssppg.uneb.br/inicio/editalExterno/1571?selecao=1571,Encerrado,2026-07-03T12:00:00Z,UNEB SSPPG
2026-08-20T03:37:57.877195Z,Seleção de Mestrado 2026 - CFAC,Seleção de Mestrado 2026 ... O Programa de Pós-Graduação em Artes da Universidade Federal do Sul da Bahia torna público o Edital PROPPG nº 07/2026 ...,UFSB,Especialização - Aluno Especial,Comunicação e Artes,10,2026-07-28T00:00:00Z,2026-07-28T00:00:00Z,https://ufsb.edu.br/cfartes/documentos/editais/450-selecao-de-mestrado-2026,Encerrado,2026-07-28T00:00:00Z,Google Search (UFSB)
2026-08-20T03:37:57.877195Z,057/2026AR - Educação e Linguagens - Lato Sensu - Aluno Regular,Inscrições para o processo seletivo da UNEB: 057/2026AR - Educação e Linguagens - Lato Sensu - Aluno Regular. Período de inscrições de 25/06/2026 a 10/07/2026. Consulte o edital completo no portal SSPPG UNEB.,UNEB,Especialização - Aluno Especial,Humanas e Sociais,15,2026-06-25T12:00:00Z,2026-07-10T23:59:59Z,https://ssppg.uneb.br/inicio/editalExterno/1549?selecao=1549,Encerrado,2026-06-25T12:00:00Z,UNEB SSPPG
2026-08-20T03:37:57.877195Z,"060/2026 - Gênero, Raça/Etnia e Sexualidade na Formação de Educadoras/es - EAD - Lato Sensu - Aluno Regular","Inscrições para o processo seletivo da UNEB: 060/2026 - Gênero, Raça/Etnia e Sexualidade na Formação de Educadoras/es - EAD - Lato Sensu - Aluno Regular. Período de inscrições de 03/07/2026 a 13/07/2026. Consulte o edital completo no portal SSPPG UNEB.",UNEB,Especialização - Aluno Especial,Educação,15,2026-07-03T12:00:00Z,2026-07-13T23:59:59Z,https://ssppg.uneb.br/inicio/editalExterno/1571?selecao=1571,Encerrado,2026-07-03T12:00:00Z,UNEB SSPPG
2026-08-21T03:41:18.774230Z,Seleção de Mestrado 2026 - CFAC,Seleção de Mestrado 2026 ... O Programa de Pós-Graduação em Artes da Universidade Federal do Sul da Bahia torna público o Edital PROPPG nº 07/2026 ...,UFSB,Especialização - Aluno Especial,Comunicação e Artes,10,2026-07-28T00:00:00Z,2026-07-28T00:00:00Z,https://ufsb.edu.br/cfartes/documentos/editais/450-selecao-de-mestrado-2026,Encerrado,2026-07-28T00:00:00Z,Google Search (UFSB)
